"ep","cases_with_ep","support"
"484 PC PETTY THEFT -> 10851(A)VC TAKE VEH W/O OWNER",14,0.0231023102310231
"484 PETTY THEFT/LICENSE PLATE -> TRAFFIC-ACCIDENT-NON INJURY",14,0.0231023102310231
"487(A) PC GRAND THEFT -> 459 PC  BURGLARY VEHICLE",14,0.0231023102310231
"487(A) PC GRAND THEFT -> MISSING PERSON",14,0.0231023102310231
"530.5 PC USE PERSONAL ID INFO -> 10851(A)VC TAKE VEH W/O OWNER",14,0.0231023102310231
"594(B)(1)PC  VANDALISM +$400 -> 11364 HS POSS DRUG PARAPH",14,0.0231023102310231
"594(B)(2)(A) VANDALISM/ -$400 -> 10851 VC AUTO THEFT LOCATE",14,0.0231023102310231
"CASUALTY REPORT -> TRAFFIC-ACCIDENT INJURY",14,0.0231023102310231
"SUSP PERS-NO CRIME - I RPT -> 10851(A)VC TAKE VEH W/O OWNER",14,0.0231023102310231
"TOWED/STORED VEH-14602.6 -> 243(E)1 BATTERY NONCOHAB SPOUS",14,0.0231023102310231
"TOWED/STORED VEH-14602.6 -> 245(A)(1)AWDW/NO FIREARM/CIVIL",14,0.0231023102310231
"TOWED/STORED VEHICLE -> 23152(A) VC DUI-ALCOHOL/DRUGS",14,0.0231023102310231
"TRAFFIC-ACCIDENT INJURY -> 5150 WI DANGER SELF/OTHERS",14,0.0231023102310231
"TRAFFIC-ACCIDENT-NON INJURY -> TRAFFIC-ACCIDENT INJURY",14,0.0231023102310231
"11364 HS POSS DRUG PARAPH -> 459 PC  BURGLARY RESIDENCE",13,0.0214521452145215
"20002(A) HIT/RUN -> 459 PC  BURGLARY BUSINESS",13,0.0214521452145215
"20002(A) HIT/RUN -> TOWED/STORED VEHICLE",13,0.0214521452145215
"242 PC  BATTERY CIVILIAN -> 594(B)(2)(A) VANDALISM/ -$400",13,0.0214521452145215
"242 PC  BATTERY CIVILIAN -> TOWED/STORED VEHICLE",13,0.0214521452145215
"243(E)1 BATTERY NONCOHAB SPOUS -> MISSING PERSON",13,0.0214521452145215
"243(E)1 BATTERY NONCOHAB SPOUS -> TOWED/STORED VEH-14602.6",13,0.0214521452145215
